Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,CountOfKPUtama,TOTAL_STUDENT,RATIO_STUDENT_RATIO,Lat,Lng
1209,Rendah,PPD HULU LANGAT,BBA4001,SK SUNGAI SERAI,"KM.16, JALAN HULU LANGAT",43100,HULU LANGAT,SELANGOR,0390741377,0390741377,67,933,13.92537313,3.0949068,101.7970617
1210,Rendah,PPD HULU LANGAT,BBA4002,SK JALAN ENAM,JALAN ENAM,43650,BANDAR BARU BANGI,SELANGOR,0389256373,0389256373,121,1520,12.56198347,2.9459098,101.7679872
1211,Rendah,PPD HULU LANGAT,BBA4003,SK AMPANG CAMPURAN,"AMPANG CAMPURAN, JALAN IKAN JELAWAT.",68000,AMPANG,SELANGOR,0342921034,0342954897,84,1237,14.72619048,3.1320305,101.7693349
1212,Rendah,PPD HULU LANGAT,BBA4004,SK SERI SEKAMAT,"BT 12 1/2, JALAN CHERAS,",43000,KAJANG,SELANGOR,0387360579,0387342842,99,1396,14.1010101,0,0
1213,Rendah,PPD HULU LANGAT,BBA4005,SK BATU SEMBILAN,"BATU 9 , JALAN CHERAS",43200,CHERAS,SELANGOR,0390758542,0390749914,52,666,12.80769231,3.02995,101.7699418
1214,Rendah,PPD HULU LANGAT,BBA4006,SK TUN ABD AZIZ MAJID,KM 22 JALAN AMPANG,43100,HULU LANGAT,SELANGOR,0390212641,0390212641,73,1254,17.17808219,3.1432399,101.7772165
1215,Rendah,PPD HULU LANGAT,BBA4007,SK SG TEKALI,KM 27 JALAN  HULU LANGAT,43100,HULU LANGAT,SELANGOR,0390214572,0390214572,27,269,9.962962963,3.0949068,101.7970617
1216,Rendah,PPD HULU LANGAT,BBA4008,SK KUALA POMSON,BT 22 1/2,43100,HULU LANGAT,SELANGOR,0390214678,0390214678,17,133,7.823529412,3.113117,101.815673
1217,Rendah,PPD HULU LANGAT,BBA4009,SK DUSUN TUA,"BATU 16 3/4,",43100,HULU LANGAT,SELANGOR,0390211367,0390211367,48,678,14.125,0,0
1218,Rendah,PPD HULU LANGAT,BBA4010,SK LUBOK KELUBI,BATU 19 JALAN HULU LANGAT,43100,HULU LANGAT,SELANGOR,0390212404,0390212404,35,496,14.17142857,3.0949068,101.7970617
1219,Rendah,PPD HULU LANGAT,BBA4011,SK SUNGAI LUI,"KM 33, KAMPUNG SUNGAI LUI",43100,HULU LANGAT,SELANGOR,0390214327,0390214327,29,369,12.72413793,0,0
1220,Rendah,PPD HULU LANGAT,BBA4012,SK LEFTENAN ADNAN,SUNGAI RAMAL LUAR,43000,KAJANG,SELANGOR,0387333595,0387395207,69,1138,16.49275362,2.9859775,101.7684727
